Country:  Name of this Country.,"Population:  Given current trends, this figure represents a projection of this country's population by mid AD 2015.",Adult rate (%):  Adults (age 15 and over) as percentage of this country's total population. Primary source: United Nations 2015.,Birth rate (%) per year:  Birth rate for this country as a percentage per year. Source material is expressed as cases per 1000.  Primary source: United Nations 2015.,Death rate (%) per year:  Death rate for this country as a percentage per year. Source material is expressed as cases per 1000.  Primary source: United Nations 2015.,"Infant mortality (n/1000) per year:  Infant mortality, per 1,000 live births in the country. Primary source: United Nations 2015.","Literacy rate (%):  The ability to read and write, as measured by the percentage of the adult population (over age 15) who can read and write their own names and a simple statement. A higher level of competence is required for functional literacy. Primary source: United Nations 2007.","Economy - GDP per capita ($):  Gross Domestic Product per year per person, expressed in $US as purchasing power parity. The GDP is the total value of the goods and services produced in a nation during a specific period (usually a year), and also comprising the total of expenditures by consumers and government plus gross private investment.  Therefore, the 'Gross Domestic Product p.a. per capita' represents the national income per person per year. Primary source: United Nations 2008 (HDR 2007/2008).",Internet user rate (%):  Internet users as a percentage of population. Primary source: United Nations 2006.,Water access rate (%):  Percentage of the country's population with access to safe water. Primary source: United Nations 2008.,HIV adults rate (n/1000):  Number of adults with HIV per thousand of the country's population. Primary source: United Nations 2008.,"Number of Christians:  The total number of Christians in this country, AD 2015.","Number of Agnostics:  Number of  agnostic persons in this country's population. These are persons professing no religion, or professing unbelief or non-belief, non-believers, agnostics, freethinkers, liberal thinkers, non-religious humanists, indifference to both religion and atheism, apathetic, opposed on principle neither to religion nor to atheism; sometimes termed secularists or materialists; also post-Christian, dechristianized or de-religionized populations.","Number of Atheists:  Number of Atheists in this country's population. Atheists are persons professing atheism, skepticism, impiety, disbelief or irreligion, or Marxist-Leninist Communism regarded as a political faith, or other quasi-religions, and who abstain from religious activities and have severed all religious affiliation; and others opposed, hostile or militantly opposed to all religion (anti-religious); dialectical materialists, militant non-believers, anti-religious humanists, skeptics.","Number of Buddhists:  Number of Buddhists in this country's population.  Followers of the Buddha, including: (a) Mahayana (Greater Vehicle) or Northern Buddhism; (b) Theravada (Teaching of the Elders) or Southern Buddhism, stigmatized by Mahayanists as Hinayana (Lesser Vehicle, i.e. available to fewer people), actually the older, purer form of Buddhism; (c) Vajrayana, Mantrayana, Guhyamantrayana, or Tantrayana (Esoteric Vehicle), known as Tantrism, Shingon or Lamaism; and (d) traditional Buddhist sects, but excluding neo-Buddhist new religions or religious movements.","Number of Hindus:  Number of Hindus in this country's population.  Followers of the main Hindu traditions: (a) Vaishnavites (Vishnaivites) (qv) numbering 70% of all Hindus; (b) Saivites (qv) numbering 25% mostly in South India; (c) Saktists (qv) or other sects (3%); (d) neo-Hindu movements and modern sects arising out of Hinduism, about 1.5%; and (e) Arya Samaj and other reformist movements, 0.5% (Brahmo Samaj, Prarthana Samaj, Swami-Narayanis, Ramakrishna Mission, but excluding Jains and Sikhs).",Number of Jews:  Number of Jews in this country's population.,Number of Muslims:  Number of Muslims in this country's population.
Cyprus,1164695,0.834370372,0.011212,0.007104,3.198,0.9689216,22699,0.4222,1,2,822981,42169,8413,6788,3461,210,269170
Djibouti,899658,0.664199062,0.02555,0.008192,48.901,0.6720623,2178,0.0136,0.92,31,15236,10808,450,0,360,0,872026
Reunion,895099,0.753108874,0.015355,0.00532,3.251,0.8758779,16100,0.2608,0.99,0,783506,17432,1250,1661,40369,0,37297
Fiji,892727,0.712560503,0.0187,0.007186,14.333,0.9339318,6049,0.0936,0.47,1,570570,9169,198,0,247625,119,55387
Guyana,807611,0.655095089,0.019147,0.006806,26.353,0.9865871,4508,0.2327,0.93,25,436273,12567,4488,1938,249117,61,60753
Equatorial Guinea,799372,0.61493022,0.033101,0.012064,77.053,0.8706203,7874,0.0155,0.43,34,708887,25321,14545,0,400,0,32359
Bhutan,776461,0.729114534,0.017869,0.006366,23.309,0.4319167,3413,0.0357,0.81,1,7992,210,0,652502,87704,0,1747
Comoros,770058,0.583197629,0.032742,0.008265,62.654,0.563604,1993,0.0256,0.85,1,3936,941,77,0,0,0,756978
Montenegro,621556,0.816912716,0.011151,0.011003,8.814,0.9646092,3201,0.4434,0.98,2,487495,23028,3833,0,0,0,107199
Western Sahara,604298,0.738819258,0.01864,0.005639,32.295,0.102485,1100,0.0032,0.83,0,931,1882,553,0,0,0,600683
Solomon Islands,584482,0.604186271,0.028361,0.00555,33.707,0.7561654,2031,0.0163,0.7,0,556877,1473,267,1852,0,0,1844
Macao,584420,0.874627836,0.010534,0.004902,3.373,0.9139805,34833,0.4675,0.99,1,42258,75931,16599,100907,0,31,1169
Suriname,548456,0.73564151,0.016739,0.00741,15.049,0.8961419,7722,0.0841,0.92,24,279668,25550,634,3248,112114,1006,87053
Luxembourg,543261,0.826687357,0.011652,0.007832,1.81,1,60228,0.7201,1,2,432504,89135,8707,0,0,880,10325
Cape Verde,508315,0.718078357,0.018789,0.004937,13.856,0.8164338,5803,0.0636,0.8,0,482483,4963,0,0,0,65,14284
Guadeloupe,470168,0.790793929,0.01278,0.007113,4.796,0.9012353,18500,0.1783,0.98,0,450737,8732,2911,0,2351,0,1740
Malta,431239,0.858496101,0.009043,0.009056,3.956,0.8783648,19189,0.3371,1,1,421709,7238,838,0,45,63,1062
Brunei,428539,0.755637177,0.014237,0.003463,3.353,0.9268654,28161,0.4169,0.99,0.5,58876,5067,146,41416,3643,0,244281
Martinique,405688,0.821271519,0.01072,0.008242,5.216,0.9743224,19800,0.2709,0.998,0,390848,8048,1783,162,964,0,880
Bahamas,387549,0.791409602,0.014856,0.00647,8.125,0.9474477,18380,0.336,0.97,30,360984,16104,601,0,116,388,349
Maldives,357981,0.717856534,0.019194,0.003294,7.823,0.9632429,5261,0.0897,0.83,1,1604,327,24,2313,1199,0,352379
Belize,347598,0.671471067,0.021762,0.004384,10.899,0.9304977,7109,0.1091,0.91,21,317144,2381,70,1703,6882,3441,1752
Iceland,336728,0.794142453,0.013907,0.006519,1.619,1,36510,0.653,1,2,316202,14282,1270,582,874,0,589
Barbados,287482,0.813257874,0.012365,0.009006,8.657,0.997,17297,0.9252,1,12,273466,4983,609,115,1294,34,2919
French Polynesia,282764,0.778589212,0.015467,0.005776,5.671,1,24624,0.2502,1,0,265747,12386,1555,266,0,167,0
Vanuatu,263888,0.638975626,0.025152,0.004594,20.155,0.74,3225,0.0346,0.6,0,246633,932,155,518,0,0,0
New Caledonia,263147,0.777694597,0.014977,0.006937,11.422,0.9615576,22193,0.332,0.964,0,222416,26293,2882,1645,0,112,7263
French Guiana,261729,0.684792285,0.022674,0.003719,10.455,0.8294985,13200,0.2077,0.84,0,220923,7679,1243,0,4188,141,2401
Mayotte,233993,0.562640763,0.026097,0.002019,3.251,0.861,2500,0.0256,0.75,0,1346,432,50,0,0,0,231089
Sao Tome & Principe,202781,0.585952333,0.030539,0.00644,41.262,0.8496598,2178,0.1374,0.86,0,194689,2693,0,0,0,0,81
Samoa,193228,0.627093382,0.024244,0.00525,17.431,0.9860941,6170,0.0446,0.88,0,190893,1189,21,19,0,0,62
Saint Lucia,184937,0.768634724,0.014455,0.007373,9.325,0.902,6707,0.6169,0.98,0,177383,693,65,0,1688,0,858
Guam,169885,0.745333608,0.016869,0.004931,8.297,1,31800,0.3846,1,0,159721,2995,119,1785,0,0,51
Curacao,164463,0.809258009,0.011577,0.008961,9.663,0.965,20400,0.05,1,0,153802,5766,331,816,342,532,322
Channel Islands,163534,0.852776793,0.009291,0.009228,7.508,0.9799085,40000,0.2209,1,0,139373,21480,1753,5,130,110,127
Saint Vincent,109374,0.754566899,0.015071,0.007516,15.642,0.96,6568,0.2941,0.93,0,96934,2720,48,0,3669,0,1630
United States Virgin Is,106906,0.791807756,0.013614,0.008165,8.525,0.9495319,25500,0.2683,0.9,0,101020,4118,189,0,449,346,112
Grenada,106694,0.734774214,0.018128,0.007324,7.936,0.85,7843,0.2124,0.95,0,103041,1006,14,0,726,0,350
Tonga,106379,0.631750627,0.02337,0.0059,19.02,0.9890478,8177,0.0302,1,0,101916,454,6,128,106,0,0
Kiribati,105555,0.690711004,0.022945,0.00587,28.915,0.9,4597,0.0215,0.89,0,102190,741,3,14,0,0,0
Micronesia,104460,0.65931457,0.023985,0.006173,30.605,0.9241225,7242,0.1439,0.94,0,98913,877,47,444,0,0,0
Aruba,103889,0.816640838,0.010285,0.00904,13.655,0.9729338,25500,0.2383,1,0,100006,1818,146,133,0,145,216
Seychelles,93754,0.777982806,0.014858,0.007965,6.64,0.9182922,16106,0.3567,0.88,0,88756,2101,130,0,1369,0,844
Antigua & Barbuda,91822,0.758173422,0.015972,0.006056,7.223,0.9,12500,0.6424,0.91,0,85219,1610,110,0,147,0,509
Isle of Man,87052,0.823783936,0.01198,0.009335,3.616,0.9598669,33238,0.6316,1,0,73211,11506,1907,0,183,63,183
Andorra,80950,0.819059059,0.012127,0.009126,2.829,1,36535,0.5618,1,0,73867,4946,294,0,401,277,1071
Dominica,72680,0.790793929,0.01278,0.007113,4.796,0.94,6393,0.3722,0.97,0,68622,355,32,94,73,0,102
Bermuda,65578,0.791409602,0.014856,0.00647,8.125,0.98,40000,0.6988,1,0,58176,3885,184,325,0,20,579
Cayman Islands,59967,0.739761047,0.017382,0.007256,18.67,0.9296965,40000,0.4575,1,0,48541,3355,231,0,153,1019,116
Greenland,57275,0.826897218,0.01146,0.010118,3.091,1,19552,0.9075,0.9,0,54929,1408,112,0,0,0,10
American Samoa,55538,0.627093382,0.024244,0.00525,17.431,0.9944843,13800,0.22,0.99,0,54426,481,6,186,0,0,0
Saint Kitts & Nevis,55376,0.790793929,0.01278,0.007113,4.796,0.9,13307,0.3241,0.99,0,52396,881,0,0,831,0,138
Northern Mariana Is,55070,0.745333608,0.016869,0.004931,8.297,0.9880285,19200,0.22,0.98,0,44718,596,10,5818,0,0,374
Marshall Islands,52993,0.745333608,0.016869,0.004931,8.297,0.912171,3673,0.0351,0.87,0,50557,760,34,0,0,0,0
Faeroe Islands,49496,0.826897218,0.01146,0.010118,3.091,1,22738,0.7189,1,0,48527,825,0,0,0,0,0
Sint Maarten,46914,0.809258009,0.011577,0.008961,9.663,0.965,20400,0.05,1,0,42667,1144,91,0,0,152,84
Monaco,38320,0.819059059,0.012127,0.009126,2.829,1,48371,0.5634,1,0,32660,3949,816,0,0,650,172
Liechtenstein,37461,0.853274278,0.010835,0.008254,3.243,1,40000,0.6398,1,0,33252,1768,30,0,0,49,2351
Turks & Caicos Is,34339,0.790793929,0.01278,0.007113,4.796,0.9288234,5300,0.0351,1,0,31356,1851,15,0,0,0,0
San Marino,31802,0.859748716,0.008841,0.010494,2.291,0.9909182,40552,0.5704,1,0,29104,1823,579,0,0,0,6
Gibraltar,29354,0.823783936,0.01198,0.009335,3.616,0.99,15700,0.2209,1,0,25907,725,75,0,528,586,1434
British Virgin Islands,28800,0.739761047,0.017382,0.007256,18.67,0.9298482,40000,0.35,0.98,0,23494,1939,35,0,343,0,332
Palau,21291,0.745333608,0.016869,0.004931,8.297,0.999,10226,0.0351,0.89,0,19641,611,2,181,27,0,506
Cook Islands,20833,0.627093382,0.024244,0.00525,17.431,0.9206272,11788,0.2747,0.95,0,20115,547,8,0,0,0,0
Caribbean Netherlands,19899,0.809258009,0.011577,0.008961,9.663,0.965,20400,0.05,1,0,18711,555,26,0,0,0,0
Anguilla,14614,0.790793929,0.01278,0.007113,4.796,0.8988234,9500,0.3226,0.6,0,13241,505,46,0,58,22,97
Wallis & Futuna Islands,13153,0.627093382,0.024244,0.00525,17.431,0.9506272,3800,0.0351,1,0,12809,80,6,0,0,0,0
Nauru,10122,0.745333608,0.016869,0.004931,8.297,0.99,6401,0.05,1,0,7594,356,0,139,0,0,0
Tuvalu,9916,0.627093382,0.024244,0.00525,17.431,0.95,1160,0.1869,0.93,0,9362,291,38,12,0,0,10
Saint Pierre & Miquelon,6049,0.819059059,0.012127,0.009126,2.829,0.99,22700,0.22,1,0,5723,236,0,0,0,0,9
Montserrat,5176,0.790793929,0.01278,0.007113,4.796,0.8176468,25000,0.25,1,0,4732,321,34,0,5,0,0
Saint Helena,4124,0.823783936,0.01198,0.009335,3.616,0.98,19200,0.2628,1,0,3952,136,4,0,0,0,0
Falkland Islands,3058,0.823783936,0.01198,0.009335,3.616,0.98,25000,0.8387,1,0,2536,340,29,6,0,0,0
Niue,1273,0.627093382,0.024244,0.00525,17.431,0.9603136,1586,0.5,1,0,1231,32,0,0,0,0,0
Tokelau Islands,1250,0.627093382,0.024244,0.00525,17.431,0.99,929,0.075,0.88,0,1183,12,0,0,0,0,0
Holy See,800,0.859748716,0.008841,0.010494,2.291,1,38500,0.9,1,0,800,0,0,0,0,0,0
